"","ClusterK2","ClusterK3","ClusterK4"
"JD.10003_.HTA.2_0..CEL",2,1,3
"JD.10007_.HTA.2_0..CEL",2,1,3
"JD.10014_.HTA.2_0..CEL",2,1,3
"JD.10019_.HTA.2_0..CEL",2,1,1
"JD.10020_.HTA.2_0..CEL",2,2,2
"JD10022_.HTA.2_0..CEL",2,1,1
"JD.10023_.HTA.2_0..CEL",2,2,2
"JD.10040_.HTA.2_0..CEL",2,1,3
"JD.10044_.HTA.2_0..CEL",1,3,4
"JD.10_.HTA.2_0..CEL",1,3,4
"JD.11_.HTA.2_0..CEL",1,3,4
"JD.13_.HTA.2_0..CEL",1,3,4
"JD.14_.HTA.2_0..CEL",2,2,2
"JD.15_.HTA.2_0..CEL",1,3,4
"JD.17_.HTA.2_0..CEL",1,3,4
"JD.18_.HTA.2_0..CEL",1,3,4
"JD.19_.HTA.2_0..CEL",2,1,1
"JD.1_.HTA.2_0..CEL",1,3,4
"JD.20_.HTA.2_0..CEL",1,2,2
"JD.21_.HTA.2_0..CEL",2,1,1
"JD.22_.HTA.2_0..CEL",1,3,3
"JD.23_.HTA.2_0..CEL",2,1,1
"JD.25_.HTA.2_0..CEL",2,1,1
"JD.26_.HTA.2_0..CEL",2,1,1
"JD.27_.HTA.2_0..CEL",1,3,3
"JD.28_.HTA.2_0..CEL",1,3,4
"JD.29_.HTA.2_0..CEL",1,3,4
"JD.2_.HTA.2_0..CEL",1,3,4
"JD.30_.HTA.2_0..CEL",2,1,1
"JD.31_.HTA.2_0..CEL",1,3,4
"JD.32_.HTA.2_0..CEL",1,3,4
"JD.34_.HTA.2_0..CEL",2,1,1
"JD.35_.HTA.2_0..CEL",2,2,2
"JD.36_.HTA.2_0..CEL",2,1,3
"JD.37_.HTA.2_0..CEL",1,3,4
"JD.38_.HTA.2_0..CEL",1,3,4
"JD.39_.HTA.2_0..CEL",1,3,3
"JD.3_.HTA.2_0..CEL",1,3,4
"JD.40_.HTA.2_0..CEL",1,3,4
"JD.41_.HTA.2_0..CEL",1,3,4
"JD.42_.HTA.2_0..CEL",1,3,4
"JD.43_.HTA.2_0..CEL",2,1,3
"JD.44_.HTA.2_0..CEL",2,2,2
"JD.45_.HTA.2_0..CEL",2,2,2
"JD.47_.HTA.2_0..CEL",2,1,1
"JD.48_.HTA.2_0..CEL",2,1,3
"JD.49_.HTA.2_0..CEL",2,1,1
"JD.4_.HTA.2_0..CEL",1,3,4
"JD.50_.HTA.2_0..CEL",2,1,1
"JD.5_.HTA.2_0..CEL",1,3,4
"JD.7_.HTA.2_0..CEL",1,3,4
"JD.8_.HTA.2_0..CEL",1,3,4
"JD.9_.HTA.2_0..CEL",1,3,4
