"","ClusterK2","ClusterK3","ClusterK4"
"GSM794865",2,1,1
"GSM794866",1,3,3
"GSM794867",1,3,3
"GSM794868",1,3,3
"GSM794869",2,1,3
"GSM794870",2,1,1
"GSM794871",1,3,3
"GSM794872",1,2,2
"GSM794873",2,1,1
"GSM794874",1,3,3
"GSM794875",1,3,3
"GSM794876",2,2,4
"GSM794877",1,2,4
"GSM794878",1,3,3
"GSM794879",1,3,3
"GSM794880",2,1,1
"GSM794881",1,3,3
"GSM794882",2,1,1
"GSM794883",1,2,3
"GSM794884",1,2,2
"GSM794885",1,3,3
"GSM794886",2,3,3
"GSM794887",2,1,1
"GSM794888",1,3,4
"GSM794889",1,3,3
"GSM794890",1,3,3
"GSM794891",1,3,4
"GSM794892",1,2,4
"GSM794893",1,3,3
"GSM794894",2,1,1
"GSM794895",2,1,1
"GSM794897",2,1,1
"GSM794898",1,2,3
"GSM794899",1,3,3
"GSM794900",1,3,3
"GSM794901",1,3,3
"GSM794902",2,1,1
"GSM794903",1,3,3
"GSM794904",1,3,3
"GSM794905",1,2,2
"GSM794906",2,1,4
"GSM794907",2,1,3
"GSM794908",1,3,3
"GSM794909",2,1,2
"GSM794910",1,2,4
"GSM794911",2,1,1
"GSM794912",2,2,2
"GSM794913",2,2,4
"GSM794914",1,3,3
"GSM794915",1,2,4
"GSM794916",1,3,3
"GSM794917",2,1,2
"GSM794918",2,1,1
"GSM794919",2,1,1
"GSM794920",1,3,3
"GSM794921",2,1,1
"GSM794922",1,3,3
"GSM794923",2,1,1
"GSM794924",1,3,3
"GSM794925",2,1,4
"GSM794926",2,1,4
"GSM794927",1,3,3
"GSM794928",1,3,3
"GSM794929",2,3,3
"GSM794930",1,3,3
"GSM794931",2,1,1
"GSM794932",1,3,3
"GSM794934",2,1,1
"GSM794936",2,1,1
"GSM794937",2,1,1
"GSM794938",2,1,1
"GSM794939",1,2,4
"GSM794940",2,1,1
"GSM794941",1,3,3
"GSM794942",2,1,1
"GSM794944",1,3,3
"GSM794945",2,2,2
"GSM794946",2,1,4
"GSM794947",1,2,2
"GSM794948",1,2,2
"GSM794949",1,2,4
"GSM794950",1,2,2
"GSM794951",2,1,1
"GSM794952",2,1,1
"GSM794953",1,2,3
"GSM794954",1,2,2
"GSM794955",1,3,3
"GSM794956",2,1,1
"GSM794957",1,3,3
"GSM794958",1,3,3
"GSM794959",1,3,3
"GSM794960",1,3,2
"GSM794961",2,2,2
"GSM794962",1,2,3
"GSM794963",1,3,3
"GSM794964",1,2,2
"GSM794965",2,1,1
"GSM794966",1,2,2
"GSM794967",2,1,1
"GSM794968",1,3,3
"GSM794969",2,2,4
"GSM794970",1,2,2
"GSM794971",1,2,4
"GSM794972",1,2,2
"GSM794973",1,3,3
"GSM794974",1,2,4
"GSM794975",1,2,4
"GSM794976",1,3,2
"GSM794977",2,3,3
"GSM794978",2,2,2
"GSM794979",1,2,2
"GSM794980",1,3,3
"GSM794981",1,3,3
"GSM794982",1,2,2
"GSM794983",2,1,1
"GSM794984",1,2,2
"GSM794985",1,3,3
"GSM794986",1,2,4
"GSM794987",1,3,3
"GSM794988",2,1,1
"GSM794989",2,1,1
"GSM794990",1,3,3
"GSM794991",1,2,2
"GSM794992",1,3,3
"GSM794993",2,1,1
"GSM794994",1,2,4
"GSM794995",1,2,2
"GSM794996",1,2,3
"GSM794997",2,1,3
"GSM794998",1,3,3
"GSM794999",2,1,1
"GSM795000",2,1,1
"GSM795001",1,2,2
"GSM795002",1,3,3
"GSM795003",1,3,3
"GSM795004",2,1,1
"GSM795005",1,3,3
"GSM795006",2,1,1
"GSM795007",2,3,3
