"","V1","V2","V3"
"X4025","2","1","4"
"X4028","1","1","2"
"X4029","1","2","1"
"X4030","2","1","2"
"X4031","1","2","2"
"X4032","2","3","4"
"X4042","2","1","4"
"X4043","1","2","2"
"X4044","2","3","4"
"X4046","1","2","3"
"X4047","2","3","4"
"X4048","2","3","1"
"X4049","1","1","2"
"X4051","1","2","2"
"X4052","1","2","1"
"X4053","2","3","4"
"X4054","1","2","3"
"X4055","1","2","3"
"X4056","2","3","2"
"X4057","1","2","3"
"X4059","1","3","1"
"X4063","1","2","2"
"X4065","2","1","4"
"X4067","1","2","3"
"X4069","1","3","1"
"X4072","1","2","3"
"X4073","1","2","2"
"X4074","1","2","3"
"X4075","1","1","2"
"X4076","1","2","3"
"X4077","1","2","2"
"X4078","1","1","3"
"X4079","2","3","1"
"X4080","1","2","2"
"X4081","1","2","2"
"X4082","2","3","2"
"X4083","1","1","2"
"X4084","1","1","2"
"X4085","1","1","2"
"X4086","2","1","2"
"X4087","2","1","2"
"X4088","1","1","3"
"X4089","1","2","3"
"X4090","2","1","4"
"X4091","1","2","3"
"X4092","1","2","3"
"X4093","1","1","2"
"X4094","2","1","2"
"X4095","1","1","2"
"X4096","1","2","2"
"X4097","2","1","4"
"X4098","2","1","4"
"X4099","2","1","4"
"X4100","2","1","4"
"X4101","1","2","3"
"X4102","2","3","4"
"X4103","2","3","1"
"X4104","2","3","1"
"X4105","1","2","3"
"X4106","2","1","2"
"X4107","2","3","4"
"X4108","2","3","1"
"X4109","1","2","2"
"X4110","1","2","3"
"X4111","1","1","2"
"X4112","1","1","2"
"X4113","1","2","3"
"X4114","1","2","1"
"X4115","2","3","1"
"X4116","2","1","4"
"X4117","1","2","3"
"X4118","2","3","1"
"X4119","2","1","4"
"X4120","2","3","1"
"X4122","2","3","4"
"X4123","1","2","2"
"X4124","1","2","2"
"X4125","1","2","3"
"X4126","2","1","4"
"X4127","1","2","3"
"X4128","1","2","2"
"X4129","1","2","3"
"X4132","1","1","2"
"X4133","2","3","4"
"X4134","1","2","3"
"X4135","1","2","3"
"X4137","2","3","1"
"X4138","1","2","3"
"X4139","2","1","4"
"X4140","1","2","2"
"X4141","1","2","3"
"X4142","2","3","1"
"X4143","2","1","4"
"X4144","2","3","1"
"X4145","2","1","4"
"X4146","2","3","1"
"X4147","2","1","4"
"X4149","1","2","3"
"X4150","1","2","1"
"X4151","2","3","4"
"X4152","1","2","1"
"X4153","2","3","1"
"X4154","1","2","1"
"X4155","2","3","1"
"X4156","2","3","4"
"X4157","2","1","4"
"X4158","2","3","1"
"X4159","1","2","2"
"X4161","2","1","2"
"X4162","1","1","2"
"X4163","2","1","4"
"X4164","1","2","3"
"X4165","1","2","2"
"X4166","2","1","4"
"X4167","1","2","1"
"X4168","1","2","3"
"X4169","2","1","2"
"X4170","1","2","2"
"X4171","2","3","1"
"X4172","2","3","1"
"X4173","1","1","2"
"X4174","2","3","4"
"X4175","1","2","3"
"X4176","1","1","3"
"X4177","1","1","3"
"X4178","1","2","3"
"X4179","2","3","1"
"X4180","2","3","1"
"X4181","1","2","3"
"X4184","2","1","4"
"X4185","1","2","3"
"X4186","2","3","1"
"X4187","1","1","2"
"X4189","2","3","1"
"X4190","2","1","2"
"X4191","2","3","1"
"X4192","2","1","4"
"X4193","2","3","4"
"X4194","1","1","2"
"X4195","1","2","3"
"X4196","2","3","1"
"X4197","1","2","3"
"X4198","1","2","3"
"X4199","1","1","2"
"X4200","2","1","2"
"X4201","2","3","1"
"X4202","2","3","1"
"X4203","2","3","1"
"X4204","2","1","4"
"X4205","1","2","3"
"X4206","2","3","1"
"X4208","2","3","1"
"X4209","1","2","3"
"X4213","2","1","2"
"X4214","1","2","3"
"X4215","1","1","2"
"X4216","1","2","3"
"X4218","2","3","1"
"X4219","2","3","1"
"X4220","2","1","4"
"X4225","2","1","4"
"X4226","1","2","3"
"X4227","1","2","3"
"X4228","2","1","2"
"X4229","2","1","2"
"X4230","1","1","2"
"X4236","2","1","4"
"X4237","1","3","1"
"X4238","1","2","3"
"X4239","1","2","1"
"X4240","1","2","3"
"X4241","1","2","2"
"X4243","1","2","3"
"X4274","1","1","2"
"X1133902531","1","1","2"
"X1133902556","2","1","4"
"X1133902693","2","1","4"
"X1133902744","1","1","3"
"X1133902804","1","1","2"
"X1133902607","1","1","2"
"X1133902579","2","1","4"
"X1133902987","1","1","3"
"X1133902696","1","1","3"
"X1133902976","2","1","2"
"X1133902587","1","1","2"
"X1133902731","1","1","3"
"X1133902507","2","1","4"
"X1133902773","1","2","2"
"X1133902735","1","2","2"
"X1133902551","2","1","4"
"X1133902671","2","1","4"
"X1133902647","2","1","4"
"X1133902711","2","1","4"
"X1133902651","2","1","4"
"X1133903011","2","1","4"
"X1133902683","2","3","4"
"X1133902836","2","3","4"
"X1133902699","2","3","1"
"X1133902676","2","1","2"
"X1133902707","2","1","4"
"X1133902999","2","1","4"
"X1133902611","2","3","1"
"X1133902595","1","2","3"
"X1133902575","2","1","2"
"X1133902563","2","3","1"
"X1133902843","1","3","1"
"X1133902963","2","1","4"
"X1133903015","2","3","4"
"X1133902827","1","2","3"
"X1133902900","2","3","1"
"X1133902928","2","3","4"
"X1133902808","1","2","2"
"X1133902903","2","1","2"
"X1133903031","1","2","1"
"X1133902635","1","2","1"
"X1133902567","2","3","1"
"X1133902907","2","3","1"
"X1133902831","1","2","1"
"X1133903007","1","2","1"
"X1133902615","1","2","3"
"X1133902723","1","2","3"
"X1133902967","1","2","3"
"X1133902840","1","2","3"
"X1133903027","1","2","1"
"X1133902779","1","2","3"
"X1133902727","1","2","2"
"X1133902623","1","2","3"
"X1133902655","1","2","3"
"X1133902503","1","2","2"
"X1133902819","1","1","2"
"X1133902939","1","1","2"
"X1133902824","2","3","1"
"X1133903200","1","2","3"
"X1133903235","1","2","3"
"X1133903295","1","2","3"
"X1133903327","1","2","3"
"X1133903167","1","2","3"
"X1133903079","1","2","3"
"X1133903303","1","2","3"
"X1133903363","1","2","1"
"X1133903245","1","2","1"
"X1133903391","1","2","3"
"X1133903359","1","2","3"
"X1133903355","1","2","3"
"X1133903192","1","2","3"
"X1133903495","1","2","3"
"X1133903203","1","2","3"
"X1133903063","2","1","2"
"X1133903240","1","2","2"
"X1133903299","1","2","2"
"X1133903324","1","1","2"
"X1133903468","1","2","3"
"X1133903147","1","2","2"
"X1133903267","1","2","1"
"X1133903083","1","1","2"
"X1133903388","1","1","3"
"X1133903499","1","1","2"
"X1133903315","1","2","2"
"X1133903072","1","2","2"
"X1133903215","1","1","2"
"X1133903068","2","1","4"
"X1133903308","2","1","4"
"X1133903447","2","1","4"
"X1133903451","2","1","4"
"X1133903176","2","3","4"
"X1133903319","2","3","4"
"X1133903479","2","1","4"
"X1133903459","2","3","4"
"X1133903183","2","3","4"
"X1133903251","2","1","4"
"X1133903416","2","3","2"
"X1133903179","1","2","3"
"X1133903211","2","1","4"
"X1133903376","1","2","3"
"X1133903483","1","1","2"
"X1133903284","2","3","4"
"X1133903383","2","1","4"
"X1133903291","2","3","4"
"X1133903312","2","3","1"
"X1133903419","2","3","4"
"X1133903339","2","3","4"
"X1133903487","2","3","4"
"X1133903403","1","2","3"
"X1133903288","2","1","4"
"X1133903087","2","1","4"
"X1133903113","2","3","1"
"X1133903463","2","3","1"
"X1133903455","2","3","1"
"X1133903091","2","3","1"
"X1133903159","1","1","2"
"X1133903259","2","3","1"
"X1133903429","2","3","1"
"X1133903332","1","1","2"
"X1133903151","2","3","1"
"X1133903219","2","3","1"
"X1133903411","2","3","1"
"X1133902411","2","3","1"
"X1133903591","1","2","1"
"X1133903711","1","3","1"
"X1133903632","2","3","1"
"X1133902423","1","2","3"
"X1133903647","1","2","3"
"X1133902475","1","2","3"
"X1133902439","1","2","3"
"X1133902459","1","2","3"
"X1133902487","1","2","2"
"X1133903503","1","2","3"
"X1133903539","1","2","3"
"X1133903567","1","2","3"
"X1133903573","2","3","1"
"X1133903577","2","3","1"
"X1133903583","1","2","3"
"X1133902444","1","1","2"
"X1133902471","1","1","2"
"X1133902483","2","1","2"
"X1133902491","2","1","4"
"X1133902500","2","3","4"
"X1133903512","1","1","2"
"X1133903677","1","1","2"
"X1133903516","1","1","2"
"X1133903533","2","1","4"
"X1133903543","2","3","1"
"X1133903615","2","3","4"
"X1133903596","2","1","2"
"X1133903599","2","1","2"
"X1133903655","2","1","2"
"X1133903659","2","1","2"
"X1133903720","2","1","2"
"X1133903668","1","2","1"
"X1133903272.re.","2","1","4"
"X1133903664","2","3","4"
"X1133903640","2","3","4"
"X1133903691","2","3","4"
"X1133903619","1","1","3"
"X1325402484","2","1","4"
"X1325402466","2","3","1"
"X1325402486","2","1","4"
"X1133903696","2","1","4"
"X1325402472","2","1","4"
"X1325402474","2","3","4"
"X1325402492","2","1","4"
"X1325402463","2","1","4"
"X1325402503","2","1","4"
"X1325402481","2","3","4"
"X1325402456","2","3","1"
"X1325402495","2","3","1"
"X1325402498","2","3","4"
"X1325402489","2","3","4"
"X1325402460","2","1","4"
"X1325402467","2","3","4"
"X1325402485","2","3","1"
"X1325402490","2","3","1"
"X1325402504","2","3","1"
"X1325402469","2","1","4"
"X1325402455","1","2","1"
"X1325402459","2","3","1"
"X1325402475","1","1","2"
"X1325402473","2","1","4"
"X1325402476","1","2","3"
"X1325402511","1","2","3"
"X1325402499","1","2","3"
"X1325402507","1","2","3"
"X1325402502","1","2","3"
"X1325402508","1","2","3"
"X1325402491","1","2","3"
"X1325402493","1","1","2"
"X1325402483","1","2","3"
"X1325402501","1","1","2"
"X1325402510","1","1","2"
"X1325402500","1","1","2"
"X1325402468","1","1","3"
"X1325402479","2","1","4"
"X1325402494","1","1","3"
"X1325402457","1","2","2"
"X1325402488","1","2","2"
"X1325402470","1","2","2"
"X1325402461","1","2","2"
