"","x"
"1","GSM1211536"
"2","GSM1211537"
"3","GSM1211538"
"4","GSM1211539"
"5","GSM1211540"
"6","GSM1211541"
"7","GSM1211544"
"8","GSM1211546"
"9","GSM1211547"
"10","GSM1211549"
"11","GSM1211550"
"12","GSM1211551"
"13","GSM1211552"
"14","GSM1211553"
"15","GSM1211555"
"16","GSM1211556"
"17","GSM1211557"
"18","GSM1211558"
"19","GSM1211559"
"20","GSM1211561"
"21","GSM1211563"
"22","GSM1211565"
"23","GSM1211566"
"24","GSM1211567"
"25","GSM1211569"
"26","GSM1211570"
"27","GSM1211571"
"28","GSM1211572"
"29","GSM1211573"
"30","GSM1211574"
"31","GSM1211575"
"32","GSM1211576"
"33","GSM1211577"
"34","GSM1211578"
"35","GSM1211579"
"36","GSM1211581"
"37","GSM1211582"
"38","GSM1211583"
"39","GSM1211585"
"40","GSM1211586"
"41","GSM1211589"
"42","GSM1211590"
"43","GSM1211591"
"44","GSM1211592"
"45","GSM1211593"
"46","GSM1211594"
"47","GSM1211595"
"48","GSM1211596"
"49","GSM1211597"
"50","GSM1211598"
"51","GSM1211599"
"52","GSM1211601"
"53","GSM1211602"
"54","GSM1211603"
"55","GSM1211604"
"56","GSM1211605"
"57","GSM1211606"
"58","GSM1211607"
"59","GSM1211608"
"60","GSM1211609"
"61","GSM1211610"
"62","GSM1211612"
"63","GSM1211614"
"64","GSM1211615"
"65","GSM1211616"
"66","GSM1211617"
"67","GSM1211619"
"68","GSM1211620"
"69","GSM1211621"
"70","GSM1211622"
"71","GSM1211623"
"72","GSM1211624"
"73","GSM1211625"
"74","GSM1211627"
"75","GSM1211628"
"76","GSM1211630"
"77","GSM1211631"
"78","GSM1211632"
"79","GSM1211633"
"80","GSM1211634"
"81","GSM1211635"
"82","GSM1211637"
"83","GSM1211638"
"84","GSM1211640"
"85","GSM1211641"
"86","GSM1211643"
"87","GSM1211644"
"88","GSM1211645"
"89","GSM1211646"
"90","GSM1211647"
"91","GSM1211648"
"92","GSM1211650"
"93","GSM1211651"
"94","GSM1211652"
"95","GSM1211654"
"96","GSM1211655"
"97","GSM1211657"
"98","GSM1211658"
"99","GSM1211659"
"100","GSM1211660"
"101","GSM1211661"
"102","GSM1211662"
"103","GSM1211663"
"104","GSM1211665"
"105","GSM1211666"
"106","GSM1211667"
"107","GSM1211669"
"108","GSM1211670"
"109","GSM1211671"
"110","GSM1211672"
"111","GSM1211673"
"112","GSM1211674"
"113","GSM1211675"
"114","GSM1211676"
"115","GSM1211677"
"116","GSM1211678"
"117","GSM1211679"
"118","GSM1211680"
"119","GSM1211681"
"120","GSM1211683"
"121","GSM1211684"
"122","GSM1211686"
"123","GSM1211688"
"124","GSM1211689"
"125","GSM1211690"
"126","GSM1211691"
"127","GSM1211692"
"128","GSM1211693"
"129","GSM1211694"
"130","GSM1211695"
"131","GSM1211696"
"132","GSM1211697"
"133","GSM1211698"
"134","GSM1211699"
"135","GSM1211700"
"136","GSM1211701"
"137","GSM1211702"
"138","GSM1211703"
"139","GSM1211704"
"140","GSM1211705"
"141","GSM1211706"
"142","GSM1211707"
"143","GSM1211708"
"144","GSM1211709"
"145","GSM1211710"
"146","GSM1211711"
"147","GSM1211712"
"148","GSM1211713"
"149","GSM1211715"
"150","GSM1211716"
"151","GSM1211717"
"152","GSM1211719"
"153","GSM1211720"
"154","GSM1211721"
"155","GSM1211722"
"156","GSM1211723"
"157","GSM1211724"
"158","GSM1211726"
"159","GSM1211727"
"160","GSM1211728"
"161","GSM1211729"
"162","GSM1211730"
"163","GSM1211732"
"164","GSM1211733"
"165","GSM1211734"
"166","GSM1211735"
"167","GSM1211736"
"168","GSM1211737"
"169","GSM1211739"
